Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1988,1,9,6,1348,1331,1458,1435,PI,942,NA,70,64,NA,23,17,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,10,7,1334,1331,1443,1435,PI,942,NA,69,64,NA,8,3,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,11,1,1446,1331,1553,1435,PI,942,NA,67,64,NA,78,75,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,12,2,1334,1331,1438,1435,PI,942,NA,64,64,NA,3,3,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,13,3,1341,1331,1503,1435,PI,942,NA,82,64,NA,28,10,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,14,4,1332,1331,1447,1435,PI,942,NA,75,64,NA,12,1,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,15,5,1331,1331,1434,1435,PI,942,NA,63,64,NA,-1,0,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,16,6,1327,1331,1427,1435,PI,942,NA,60,64,NA,-8,-4,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,17,7,1331,1331,1440,1435,PI,942,NA,69,64,NA,5,0,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,18,1,1349,1331,1519,1435,PI,942,NA,90,64,NA,44,18,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,19,2,1337,1331,1438,1435,PI,942,NA,61,64,NA,3,6,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,20,3,1337,1331,1452,1435,PI,942,NA,75,64,NA,17,6,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,21,4,1330,1331,1459,1435,PI,942,NA,89,64,NA,24,-1,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,22,5,1331,1331,1434,1435,PI,942,NA,63,64,NA,-1,0,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,23,6,1333,1331,1436,1435,PI,942,NA,63,64,NA,1,2,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,24,7,1328,1331,1430,1435,PI,942,NA,62,64,NA,-5,-3,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,25,1,1330,1331,1444,1435,PI,942,NA,74,64,NA,9,-1,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,26,2,1407,1331,1518,1435,PI,942,NA,71,64,NA,43,36,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,27,3,1332,1331,1445,1435,PI,942,NA,73,64,NA,10,1,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,28,4,1331,1331,1438,1435,PI,942,NA,67,64,NA,3,0,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,29,5,1339,1331,1442,1435,PI,942,NA,63,64,NA,7,8,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,30,6,1332,1331,1435,1435,PI,942,NA,63,64,NA,0,1,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,31,7,1329,1331,1434,1435,PI,942,NA,65,64,NA,-1,-2,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,1,5,947,950,1050,1050,PI,943,NA,63,60,NA,0,-3,LGA,SYR,198,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,3,7,957,950,1048,1050,PI,943,NA,51,60,NA,-2,7,LGA,SYR,198,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,4,1,1107,950,1219,1050,PI,943,NA,72,60,NA,89,77,LGA,SYR,198,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,6,3,950,950,1100,1050,PI,943,NA,70,60,NA,10,0,LGA,SYR,198,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,7,4,956,950,1047,1050,PI,943,NA,51,60,NA,-3,6,LGA,SYR,198,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,8,5,NA,950,NA,1050,PI,943,NA,NA,60,NA,NA,NA,LGA,SYR,198,NA,NA,1,NA,0,NA,NA,NA,NA,NA
1988,1,11,1,950,950,1042,1050,PI,943,NA,52,60,NA,-8,0,LGA,SYR,198,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,12,2,949,950,1051,1050,PI,943,NA,62,60,NA,1,-1,LGA,SYR,198,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,13,3,1023,950,1117,1050,PI,943,NA,54,60,NA,27,33,LGA,SYR,198,NA,NA,0,NA,0,NA,NA,NA,NA,NA
